id,question_text,input_type,options,order,is_required,pillar,impact_weight,frequency_class,is_core,source
1,"I have sustainable energy levels throughout the work week.",likert_5,,1,true,wellness,1.2,core,true,"WHO-5 adapted"
2,"I am able to maintain a healthy work-life balance.",likert_5,,2,true,wellness,1,high,false,"HeartCount Pulse"
3,"I feel I can take time off when I need it without guilt.",likert_5,,3,true,wellness,0.8,standard,false,"Burnout research / APA"
4,"I have been feeling stressed or overwhelmed in the past two weeks.",frequency_5,"Not at all | Rarely | Sometimes | Often | Almost always",4,true,wellness,1.2,high,false,"MBI / WHO Burnout"
5,"My current workload feels manageable.",traffic_light,"Just right | Slightly too much or too little | Unmanageable",5,true,wellness,1,standard,false,"WHO Burnout adapted"
6,"I understand how my current work connects to the team's goals.",likert_5,,6,true,alignment,1.2,core,true,"Gallup Q01"
7,"I am clear on what success looks like for my current projects.",likert_5,,7,true,alignment,1,high,false,"Spotify Mission"
8,"I feel our team's priorities are well-defined.",likert_5,,8,true,alignment,1,standard,false,"Atlassian Health Monitor"
9,"I feel my opinions count when decisions are made.",likert_5,,9,true,alignment,0.8,standard,false,"Gallup Q07"
10,"I have the materials and resources I need to do my work right.",likert_5,,10,true,alignment,0.8,standard,false,"Gallup Q02"
11,"My lead provides feedback that helps me improve.",likert_5,,11,true,management,1.2,core,true,"Gallup Q05 adapted"
12,"I feel comfortable raising concerns with my lead.",likert_5,,12,true,management,1,high,false,"Google re:Work"
13,"My lead supports my professional development.",likert_5,,13,true,management,1,standard,false,"15Five"
14,"I trust my lead to advocate for the team.",likert_5,,14,true,management,0.8,standard,false,"Officevibe"
15,"My 1:1s are valuable and well-structured.",likert_5,,15,true,management,0.8,deep,false,"Lattice"
16,"I am learning new skills in my current role.",likert_5,,16,true,growth,1,core,true,"Gallup Q12 adapted"
17,"I have access to the resources I need to grow professionally.",likert_5,,17,true,growth,1,high,false,"Leapsome"
18,"I feel challenged by my work in a healthy way.",traffic_light,"Just right | Under-challenged or Over-challenged | Completely misaligned",18,true,growth,0.8,standard,false,"Leapsome"
19,"I have a clear sense of my career path here.",likert_5,,19,true,growth,1,standard,false,"Lattice / Culture Amp"
20,"I've had opportunities to share or teach what I know.",yes_no,,20,true,growth,0.6,deep,false,"Gallup Q03"
21,"I feel safe taking creative risks in my work.",likert_5,,21,true,design_courage,1.2,core,true,"Google re:Work Psych. Safety"
22,"Our team holds itself to high craft standards.",likert_5,,22,true,design_courage,1,high,false,"Artkai internal"
23,"I can push back on requirements when I believe it's right for the user.",likert_5,,23,true,design_courage,1,standard,false,"NNGroup UX Research"
24,"We make time for exploration and experimentation.",likert_5,,24,true,design_courage,0.8,standard,false,"Spotify Squad Health"
25,"Honest design critique is welcomed and practiced on this team.",likert_5,,25,true,design_courage,0.8,deep,false,"Artkai internal"
26,"My teammates are responsive and supportive.",likert_5,,26,true,collaboration,1.2,core,true,"Gallup Q10 adapted"
27,"I can easily get the information I need from other teams.",likert_5,,27,true,collaboration,1,high,false,"Atlassian"
28,"Cross-functional collaboration is smooth and productive.",likert_5,,28,true,collaboration,1,standard,false,"Spotify Squad Health"
29,"We resolve disagreements constructively.",likert_5,,29,true,collaboration,0.8,standard,false,"Atlassian"
30,"Knowledge is shared openly within the team.",likert_5,,30,true,collaboration,0.6,deep,false,"Culture Amp"
31,"I feel my contributions are recognized.",likert_5,,31,true,recognition,1.2,core,true,"Gallup Q04"
32,"I can see the impact of my work on real users or outcomes.",likert_5,,32,true,recognition,1,high,false,"15Five / Officevibe"
33,"I feel valued as a member of this team.",likert_5,,33,true,recognition,1,standard,false,"Culture Amp"
34,"My work is visible beyond my immediate team.",likert_5,,34,true,recognition,0.8,standard,false,"Officevibe"
35,"I am proud of what we've shipped recently.",likert_5,,35,true,recognition,0.6,deep,false,"Artkai internal"
36,"I feel I can be myself at work.",likert_5,,36,true,belonging,1.2,core,true,"DEIB / Officevibe"
37,"Diverse perspectives are genuinely valued on this team.",likert_5,,37,true,belonging,1,high,false,"Culture Amp"
38,"I feel included in decisions that affect my work.",likert_5,,38,true,belonging,1,standard,false,"Gallup Q07"
39,"I feel a sense of connection with my teammates.",likert_5,,39,true,belonging,0.8,standard,false,"Gallup Q10"
40,"My voice matters in team discussions.",likert_5,,40,true,belonging,0.6,deep,false,"Officevibe"
